,symbol,name,isin,sector,industry,country,exchange
1012,VXUS,,US9219097683,,,,
1013,VYMI,,US9219467944,,,,
1014,WAGA,WAGA ENERGY,FR0012532810,,,,Euronext Paris
1015,WEB,WAREHOUSES ESTATES,BE0003734481,,,,Euronext Brussels
1016,WEST,WESTERN BULK CHART,NO0010768096,,,,Euronext Growth Oslo
1017,WIZZ,,FR00140047H7,,,,
1018,WLN,WORLDLINE,NET000WIND41,,,,Euronext Paris
1019,WOLS,WOL. SHOPPING CERT,CNE000001BJ3,,,,Euronext Brussels
1020,WOOD,,US4642881746,,,,
1021,WTB,,RU000A0JP5V6,,,,
1022,WTW,,IE00BDB6Q211,,,,
1023,WWH,,CNE000001DJ9,,,,
1024,XIL,XILAM ANIMATION,CNE100001JQ0,,,,Euronext Paris
1025,XIOR,XIOR,FI4000480454,,,,Euronext Brussels
1026,XPP,,US74347X8801,,,,
1027,XT,,US46434V3814,,,,
1028,YATRA,YATRA,SK1110001502,,,,Euronext Amsterdam
1029,YEW,YEW GROVE REIT PLC,IE00BDT5KP12,,,,Euronext Dublin
1030,ZENA,ZENITH ENERGY,INE520A01027,,,,Euronext Growth Oslo
1031,ZINGU,,US30320F2056,,,,
