files,merge
CAC_40,False
DAX,False
FTSE100,False
FTSE250,False
NASDAQ100,True
NASDAQ,True
DJI,True
DOW,True
SP500,True
SP500_y,True
ACTIVES,False
TRENDING,False
GAINERS,False
LOOSERS,False
UNDERVALUATED,False
IBOVESPA,False
NIFTY50,False
NIFTYBANK,False
EURONEXT,False
