files,merge
CAC_40,False
DAX,False
FTSE100,False
FTSE250,False
NASDAQ100,False
NASDAQ,False
DJI,False
DOW,False
SP500,False
SP500_y,False
ACTIVES,True
TRENDING,True
GAINERS,True
LOOSERS,True
UNDERVALUATED,True
IBOVESPA,False
NIFTY50,False
NIFTYBANK,False
EURONEXT,False
